index,missing_indexes
1774,[]
1775,[4]
1776,[3]
1777,[]
1778,"[2, 3]"
1779,"[3, 4, 5]"
1780,[4]
1781,[]
1782,"[3, 4]"
1783,[4]
1784,[]
1785,[7]
1786,[5]
1787,[5]
1788,[]
1789,[]
1790,[]
1791,[]
1792,"[1, 3, 7]"
1793,[]
1794,[2]
1795,[5]
1796,"[2, 4]"
1797,[4]
1798,[]
1799,[3]
1800,[]
1801,"[2, 3, 4, 5]"
1802,[3]
1803,"[1, 7]"
1804,[2]
1805,"[2, 3, 7]"
1806,[7]
1807,"[1, 2]"
1808,"[4, 5, 7]"
1809,[]
1810,"[3, 7]"
1811,"[1, 5]"
1812,"[4, 6]"
1813,"[2, 7]"
1814,"[2, 4]"
1815,[4]
1816,[]
1817,[5]
1818,[2]
1819,"[4, 5]"
1820,[]
1821,[]
1822,"[1, 6]"
1823,[1]
1824,[5]
1825,"[2, 6]"
1826,"[2, 3, 4]"
1827,"[2, 4]"
1828,[]
1829,[6]
1830,[]
1831,"[3, 4]"
1832,"[4, 6]"
1833,[]
1834,[4]
1835,[]
1836,[7]
1837,[3]
1838,[6]
1839,"[3, 7]"
1840,[5]
1841,[]
1842,[2]
1843,"[2, 7]"
1844,[]
1845,"[1, 3]"
1846,[3]
1847,[]
1848,[7]
1849,[]
1850,[2]
1851,[]
1852,[5]
1853,[3]
1854,[7]
1855,"[3, 5]"
1856,[7]
1857,[3]
1858,[1]
1859,"[1, 5]"
1860,[3]
1861,[]
1862,[]
1863,"[2, 6]"
1864,[2]
1865,"[1, 2]"
1866,[4]
1867,[3]
1868,"[2, 4, 5, 7]"
1869,[]
1870,[4]
1871,"[6, 7]"
1872,"[2, 5, 6]"
1873,[]
1874,[4]
1875,[]
1876,[2]
1877,[]
1878,[]
1879,"[2, 3, 5]"
1880,[]
1881,[5]
1882,"[5, 7]"
1883,"[2, 6]"
1884,[]
1885,"[2, 3, 5]"
1886,"[1, 2, 6]"
1887,"[2, 6]"
1888,[]
1889,[]
1890,[]
1891,[]
1892,[5]
1893,[6]
1894,"[1, 5]"
1895,"[1, 2, 3, 5, 6]"
1896,[3]
1897,[3]
1898,"[5, 6]"
1899,[]
1900,[5]
1901,"[2, 7]"
1902,[6]
1903,[7]
1904,[]
1905,[5]
1906,[]
1907,"[1, 3]"
1908,"[1, 6]"
1909,[]
1910,[]
1911,[]
1912,[]
1913,[6]
1914,"[2, 5]"
1915,[2]
1916,[]
1917,[7]
1918,[6]
1919,[]
1920,"[6, 7]"
1921,[]
1922,[]
1923,[7]
1924,[1]
1925,[]
1926,[7]
1927,[]
1928,"[1, 4, 6]"
1929,[]
1930,[2]
1931,"[4, 6]"
1932,[2]
1933,[]
1934,[]
1935,[4]
1936,"[2, 3]"
1937,[2]
1938,[]
1939,"[3, 7]"
1940,[5]
1941,[]
1942,"[4, 7]"
1943,"[3, 5]"
1944,[]
1945,[]
1946,[7]
1947,[5]
1948,[7]
1949,[4]
1950,[3]
1951,[]
1952,"[1, 5]"
1953,"[1, 3]"
1954,[]
1955,[]
1956,"[1, 3, 7]"
1957,[6]
1958,[7]
1959,[4]
1960,[6]
1961,[]
1962,[]
1963,"[1, 2, 6]"
1964,[5]
1965,[]
1966,"[1, 3, 5]"
1967,[]
1968,[5]
1969,"[3, 5, 6]"
1970,[3]
1971,[]
1972,[4]
1973,"[2, 6]"
1974,"[3, 6]"
1975,"[2, 5]"
1976,[1]
1977,"[1, 2, 5]"
1978,"[2, 7]"
1979,[]
1980,[5]
1981,[7]
1982,[7]
1983,[]
1984,"[3, 6]"
1985,"[2, 5]"
1986,"[2, 3]"
1987,[]
1988,[]
1989,"[1, 3, 4, 6]"
1990,"[1, 7]"
1991,[]
1992,[]
1993,[5]
1994,[5]
1995,[]
1996,[4]
1997,[]
1998,[1]
1999,[]
2000,"[1, 7]"
